Beantown Loafers;;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Beantown Loafers;;BENCH, Johnny;C+;9;R;13;1B2, 3B3, OF1
Beantown Loafers;;BARTON, Bob;C;8;R;7; 
Beantown Loafers;;KING, Hal;C;6;L;4; 
Beantown Loafers;;JOHNSON, Deron;1B+;4;R;4;3B3
Beantown Loafers;;MAY, Lee;1B;3;R;7; 
Beantown Loafers;;HOPKINS, Gail;1B+;2;L;5;C5
Beantown Loafers;;BECKERT, Glenn;2B+;8;R;7;OF1
Beantown Loafers;;SCHOFIELD, Dick;2B+;6;B;6;3B3, SS7
Beantown Loafers;;NETTLES, Graig;3B+;4;L;8;OF1
Beantown Loafers;;O'BRIEN, Syd;3B+;3;R;15;2B6, SS6
Beantown Loafers;;HANSEN, Ron;SS+;8;R;5;2B7, 3B4
Beantown Loafers;;HERNANDEZ, Jackie;SS;7;R;16; 
Beantown Loafers;;DAVALILLO, Vic;OF;3;L;17; 
Beantown Loafers;;BONDS, Bobby;OF;2;R;19; 
Beantown Loafers;;CARBO, Bernie;OF;1;L;7; 
Beantown Loafers;;GARR, Ralph;OF;1;L;19; 
Beantown Loafers;;KEOUGH, Joe;OF+;1;L;13;1B2
Beantown Loafers;;REYNOLDS, Tommie;OF+;1;R;15;3B3
Bubbaville Brewzers;;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;;AZCUE, Jose;C;8;R;4; 
Bubbaville Brewzers;;CANNIZZARO, Chris;C;8;R;4; 
Bubbaville Brewzers;;DUNCAN, Dave;C;7;R;4; 
Bubbaville Brewzers;;COLBERT, Nate;1B+;3;R;16;3B3
Bubbaville Brewzers;;AARON, Tommie;1B+;2;R;15;OF1
Bubbaville Brewzers;;ROJAS, Cookie;2B+;8;R;6;SS6, OF1
Bubbaville Brewzers;;McAULIFFE, Dick;2B+;7;L;16;3B3, SS7
Bubbaville Brewzers;;BAILEY, Bob;3B+;3;R;8;1B2, OF1
Bubbaville Brewzers;;MARTINEZ, Jose;3B+;3;R;16;2B5, SS6
Bubbaville Brewzers;;PENA, Roberto;SS+;8;R;13;1B2, 2B7, 3B3
Bubbaville Brewzers;;MONDAY, Rick;OF;3;L;17; 
Bubbaville Brewzers;;MAY, Dave;OF;2;L;15; 
Bubbaville Brewzers;;RUDI, Joe;OF+;2;R;15;1B2
Bubbaville Brewzers;;ALLISON, Bob;OF+;1;R;8;1B2
Bubbaville Brewzers;;CARTY, Rico;OF;1;R;4; 
Bubbaville Brewzers;;HOWARD, Frank;OF+;1;R;3;1B2
Bubbaville Brewzers;;McRAE, Hal;OF+;1;R;6;2B5, 3B3
Charm City Rookies;;PLAYERS - 19;Pos;D;B;Sp;Other Positions
Charm City Rookies;;ROOF, Phil;C+;8;R;5;1B2
Charm City Rookies;;RODRIGUEZ, Ellie;C;7;R;4; 
Charm City Rookies;;TILLMAN, Bob;C;7;R;3; 
Charm City Rookies;;DEMPSEY, Rick;C;6;R;8; 
Charm City Rookies;;FAIRLY, Ron;1B+;4;L;5;OF2
Charm City Rookies;;ELLIS, John;1B+;3;R;4;C5, 3B3
Charm City Rookies;;POPOVICH, Paul;2B+;8;B;10;3B4, SS8
Charm City Rookies;;GARRETT, Wayne;3B+;4;L;15;2B7, SS7
Charm City Rookies;;MONEY, Don;3B+;4;R;14;SS6
Charm City Rookies;;PAGAN, Jose;3B+;4;R;6;1B2, 2B6, OF1
Charm City Rookies;;PATEK, Freddie;SS;8;R;18; 
Charm City Rookies;;MENKE, Denis;SS+;7;R;15;1B2, 2B6, 3B3, OF1
Charm City Rookies;;JOHNSTONE, Jay;OF;2;L;15; 
Charm City Rookies;;OLIVER, Al;OF+;2;L;16;1B3
Charm City Rookies;;MAY, Carlos;OF+;1;L;14;1B2
Charm City Rookies;;MAYE, Lee;OF+;1;L;13;3B3
Charm City Rookies;;PINIELLA, Lou;OF+;1;R;7;1B2
Charm City Rookies;;REICHARDT, Rick;OF+;1;R;15;3B3
Charm City Rookies;;SWOBODA, Ron;OF;1;R;10; 
Crown Hill Crabbers;;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;;BATEMAN, John;C;7;R;3; 
Crown Hill Crabbers;;HENDRICKS, Elrod;C;7;L;5; 
Crown Hill Crabbers;;JORGENSEN, Mike;1B+;4;L;16;OF1
Crown Hill Crabbers;;ROBERTSON, Bob;1B+;3;R;7;3B3, OF1
Crown Hill Crabbers;;MILLAN, Felix;2B;8;R;15; 
Crown Hill Crabbers;;RADER, Doug;3B+;5;R;15;1B2
Crown Hill Crabbers;;KENNEY, Jerry;3B+;4;L;16;2B6
Crown Hill Crabbers;;WOODWARD, Woody;SS+;8;R;13;1B2, 2B6, 3B4
Crown Hill Crabbers;;BROWN, Larry;SS+;7;R;13;2B6, 3B3
Crown Hill Crabbers;;GASTON, Cito;OF;2;R;15; 
Crown Hill Crabbers;;HISLE, Larry;OF;2;R;18; 
Crown Hill Crabbers;;PEPITONE, Joe;OF+;2;L;10;1B5
Crown Hill Crabbers;;ALLEN, Hank;OF+;1;R;15;1B2, 2B5
Crown Hill Crabbers;;BLEFARY, Curt;OF+;1;L;5;1B2
Crown Hill Crabbers;;GAMBLE, Oscar;OF;1;L;17; 
Crown Hill Crabbers;;KELLY, Pat;OF;1;L;18; 
Crown Hill Crabbers;;KOSCO, Andy;OF+;1;R;6;1B2
Detroit Dirtbags;;PLAYERS - 12;Pos;D;B;Sp;Other Positions
Detroit Dirtbags;;FOSSE, Ray;C;8;R;8; 
