Bubbaville Brewzers;PLAYERS - 19;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;SIMS, Duke;C+;8;L;5;1B2, OF1
Bubbaville Brewzers;AZCUE, Joe;C;7;R;4; 
Bubbaville Brewzers;CANNIZZARO, Chris;C;6;R;4; 
Bubbaville Brewzers;DUNCAN, Dave;C;6;R;6; 
Bubbaville Brewzers;CLENDENON, Donn;1B;4;R;16; 
Bubbaville Brewzers;McAULIFFE, Dick;2B+;8;L;16;SS7
Bubbaville Brewzers;ROJAS, Cookie;2B+;8;R;9;C5
Bubbaville Brewzers;GOTAY, Julio;2B+;6;R;14;3B3
Bubbaville Brewzers;McRAE, Hal;2B;5;R;14; 
Bubbaville Brewzers;BAILEY, Bob;3B+;3;R;11;SS6, OF1
Bubbaville Brewzers;McFADDEN, Leon;SS;6;R;15; 
Bubbaville Brewzers;MONDAY, Rick;OF;2;L;17; 
Bubbaville Brewzers;AARON, Tommie;OF+;1;R;15;1B4, 3B3
Bubbaville Brewzers;ALLISON, Bob;OF+;1;R;13;1B2
Bubbaville Brewzers;BROWN, Ollie;OF;1;R;13; 
Bubbaville Brewzers;COLBERT, Nate;OF+;1;R;16;1B2
Bubbaville Brewzers;HOWARD, Frank;OF+;1;R;4;1B2
Bubbaville Brewzers;MAY, Dave;OF;1;L;14; 
Bubbaville Brewzers;RUDI, Joe;OF;1;R;15; 
Charm City Rookies;PLAYERS - 22;Pos;D;B;Sp;Other Positions
Charm City Rookies;DALRYMPLE, Clay;C;8;L;3; 
Charm City Rookies;ROOF, Phil;C;8;R;5; 
Charm City Rookies;RODRIGUEZ, Ellie;C;6;R;4; 
Charm City Rookies;TILLMAN, Bob;C;6;R;3; 
Charm City Rookies;SPENCER, Jim;1B;3;L;7; 
Charm City Rookies;HORTON, Tony;1B;2;R;6; 
Charm City Rookies;JOHNSON, Dave;2B+;8;R;14;SS7
Charm City Rookies;MENKE, Denis;2B+;7;R;15;1B2, 3B4, SS8
Charm City Rookies;PAGAN, Jose;3B+;4;R;9;1B2, 2B6, SS7, OF1
Charm City Rookies;VERSALLES, Zoilo;SS;8;R;17; 
Charm City Rookies;MONEY, Don;SS;6;R;14; 
Charm City Rookies;PATEK, Freddie;SS+;6;R;18;3B3, OF1
Charm City Rookies;AGEE, Tommie;OF;2;R;19; 
Charm City Rookies;FAIRLY, Ron;OF+;2;L;5;1B3
Charm City Rookies;WHITAKER, Steve;OF;2;L;11; 
Charm City Rookies;JOHNSTONE, Jay;OF;1;L;15; 
Charm City Rookies;MAY, Carlos;OF;1;L;14; 
Charm City Rookies;MAYE, Lee;OF+;1;L;14;1B2
Charm City Rookies;OLIVER, Al;OF;1;L;15; 
Charm City Rookies;PINIELLA, Lou;OF;1;R;7; 
Charm City Rookies;STAHL, Larry;OF+;1;L;16;1B2
Charm City Rookies;SWOBODA, Ron;OF;1;R;10; 
Crown Hill Crabbers;PLAYERS - 21;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;BATEMAN, John;C;7;R;4; 
Crown Hill Crabbers;BRAND, Ron;C+;6;R;15;3B3, OF1
Crown Hill Crabbers;HENDRICKS, Ellie;C;6;L;7; 
Crown Hill Crabbers;MITTERWALD, George;C;6;R;4; 
Crown Hill Crabbers;BLEFARY, Curt;C+;5;L;5;1B2, OF1
Crown Hill Crabbers;JORGENSEN, Mike;1B;3;L;15; 
Crown Hill Crabbers;WHITFIELD, Fred;1B;2;L;4; 
Crown Hill Crabbers;MILLAN, Felix;2B;8;R;15; 
Crown Hill Crabbers;DAVENPORT, Jim;3B+;4;R;8;2B6, SS7
Crown Hill Crabbers;RADER, Doug;3B+;3;R;14;1B2
Crown Hill Crabbers;ROLLINS, Rich;3B;3;R;10; 
Crown Hill Crabbers;BROWN, Larry;SS;8;R;14; 
Crown Hill Crabbers;WOODWARD, Woody;SS+;8;R;13;1B2, 2B7, 3B3
Crown Hill Crabbers;SNYDER, Russ;OF+;3;L;15;1B2
Crown Hill Crabbers;GREEN, Lenny;OF;2;L;15; 
Crown Hill Crabbers;HICKMAN, Jim;OF;2;R;10; 
Crown Hill Crabbers;PEPITONE, Joe;OF+;2;L;11;1B4
Crown Hill Crabbers;UNSER, Del;OF+;2;L;16;1B2
Crown Hill Crabbers;HISLE, Larry;OF;1;R;18; 
Crown Hill Crabbers;KELLY, Pat;OF;1;L;18; 
Crown Hill Crabbers;KOSCO, Andy;OF+;1;R;7;1B2
Detroit Dirtbags;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Detroit Dirtbags;HUNDLEY, Randy;C;8;R;13; 
Detroit Dirtbags;FOSSE, Ray;C;6;R;8; 
Detroit Dirtbags;POWELL, Boog;1B;3;L;4; 
Detroit Dirtbags;KNOOP, Bobby;2B;9;R;10; 
Detroit Dirtbags;POPOVICH, Paul;2B+;7;B;10;3B3, SS7
Detroit Dirtbags;BANDO, Sal;3B+;4;R;7;OF1
Detroit Dirtbags;HARRELSON, Bud;SS;8;B;17; 
Detroit Dirtbags;GARRIDO, Gil;SS;7;R;13; 
Detroit Dirtbags;MICHAEL, Gene;SS;7;B;15;P1
Detroit Dirtbags;LEON, Eddie;SS;6;R;9; 
Detroit Dirtbags;FRANCONA, Tito;OF+;2;L;5;1B3
Detroit Dirtbags;HARPER, Tommy;OF+;2;R;19;2B5
Detroit Dirtbags;JONES, Cleon;OF;2;R;16; 
Detroit Dirtbags;OLIVA, Tony;OF;2;L;17; 
Detroit Dirtbags;CRAWFORD, Willie;OF;1;L;17; 
Detroit Dirtbags;HOLT, Jim;OF+;1;L;15;1B2
Detroit Dirtbags;JACKSON, Reggie;OF;1;L;18; 
Germantown Toros;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Germantown Toros;HALLER, Tom;C;8;L;6; 
Germantown Toros;KILLEBREW, Harmon;1B+;3;R;4;3B3
Germantown Toros;EPSTEIN, Mike;1B;2;L;4; 
Germantown Toros;MANTLE, Mickey;1B;2;B;13; 
Germantown Toros;ANDREWS, Mike;2B+;8;R;12;3B3, SS7
Germantown Toros;ALVIS, Max;3B;5;R;15; 
Germantown Toros;HEBNER, Richie;3B;3;L;9; 
