Beantown Loafers;;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Beantown Loafers;;BENCH, Johnny;C+;9;R;12;1B2, 3B3, OF1
Beantown Loafers;;MAY, Jerry;C;8;R;6; 
Beantown Loafers;;JOHNSON, Deron;1B+;4;R;4;3B3
Beantown Loafers;;BURDA, Bob;1B+;3;L;6;OF1
Beantown Loafers;;MAY, Lee;1B;3;R;6; 
Beantown Loafers;;BECKERT, Glenn;2B;8;R;7; 
Beantown Loafers;;HARMON, Terry;2B+;7;R;17;1B2, 3B3, SS6
Beantown Loafers;;NETTLES, Graig;3B;5;L;8; 
Beantown Loafers;;MICHAEL, Gene;SS;9;B;13; 
Beantown Loafers;;WILLS, Maury;SS+;9;B;16;3B4
Beantown Loafers;;HARRAH, Toby;SS+;7;R;17;3B3
Beantown Loafers;;GRICH, Bobby;SS+;6;R;17;2B5
Beantown Loafers;;BONDS, Bobby;OF;2;R;19; 
Beantown Loafers;;JETER, Johnny;OF;2;R;18; 
Beantown Loafers;;TOVAR, Cesar;OF+;2;R;17;2B6, 3B3
Beantown Loafers;;GARR, Ralph;OF;1;L;19; 
Beantown Loafers;;SINGLETON, Ken;OF;1;B;7; 
Bubbaville Brewzers;;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;;DUNCAN, Dave;C;8;R;4; 
Bubbaville Brewzers;;CANNIZZARO, Chris;C;7;R;4; 
Bubbaville Brewzers;;RADER, Dave;C;6;L;8; 
Bubbaville Brewzers;;COLBERT, Nate;1B;3;R;15; 
Bubbaville Brewzers;;LEON, Eddie;2B+;8;R;9;SS7
Bubbaville Brewzers;;McAULIFFE, Dick;2B+;8;L;16;SS7
Bubbaville Brewzers;;ROJAS, Cookie;2B+;8;R;8;SS7, OF1
Bubbaville Brewzers;;BAILEY, Bob;3B+;3;R;8;1B2, OF1
Bubbaville Brewzers;;PENA, Roberto;3B+;3;R;13;1B2, 2B6, SS7
Bubbaville Brewzers;;WINE, Bobby;SS;9;R;7; 
Bubbaville Brewzers;;TAVERAS, Frank;SS;6;R;17; 
Bubbaville Brewzers;;MONDAY, Rick;OF;3;L;17; 
Bubbaville Brewzers;;MANGUAL, Angel;OF;2;R;13; 
Bubbaville Brewzers;;MELENDEZ, Luis;OF;2;R;16; 
Bubbaville Brewzers;;RUDI, Joe;OF+;2;R;15;1B2
Bubbaville Brewzers;;HOWARD, Frank;OF+;1;R;3;1B3
Bubbaville Brewzers;;MAY, Dave;OF;1;L;15; 
Bubbaville Brewzers;;McRAE, Hal;OF;1;R;6; 
Charm City Rookies;;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Charm City Rookies;;RODRIGUEZ, Ellie;C;7;R;4; 
Charm City Rookies;;DEMPSEY, Rick;C;6;R;13; 
Charm City Rookies;;STEPHENSON, John;C;6;L;4; 
Charm City Rookies;;FAIRLY, Ron;1B+;5;L;5;OF1
Charm City Rookies;;MENKE, Denis;1B+;4;R;12;2B6, 3B3, SS7
Charm City Rookies;;CHAMBLISS, Chris;1B;3;L;7; 
Charm City Rookies;;ELLIS, John;1B+;2;R;4;C5
Charm City Rookies;;MAY, Carlos;1B+;2;L;15;OF1
