Bubbaville Brewzers;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;AZCUE, Joe;C;7;R;5; 
Bubbaville Brewzers;CANNIZZARO, Chris;C;7;R;9; 
Bubbaville Brewzers;DUNCAN, Dave;C;6;R;7; 
Bubbaville Brewzers;SIMS, Duke;C;5;L;5; 
Bubbaville Brewzers;CLENDENON, Donn;1B;3;R;17; 
Bubbaville Brewzers;GENTILE, Jim;1B;3;L;4; 
Bubbaville Brewzers;OLIVER, Gene;1B+;2;R;6;C6
Bubbaville Brewzers;BOLLING, Frank;2B;8;R;9; 
Bubbaville Brewzers;BAILEY, Bob;3B+;3;R;12;SS6, OF1
Bubbaville Brewzers;CAUSEY, Wayne;SS+;8;L;9;2B7, 3B3
Bubbaville Brewzers;McAULIFFE, Dick;SS;8;L;15; 
Bubbaville Brewzers;DAVALILLO, Vic;OF;2;L;18; 
Bubbaville Brewzers;ROJAS, Cookie;OF+;2;R;14;C5, 2B7, 3B3, SS7
Bubbaville Brewzers;CARTY, Rico;OF;1;R;8; 
Bubbaville Brewzers;DAVIS, Tommy;OF;1;R;16; 
Bubbaville Brewzers;HOWARD, Frank;OF;1;R;5; 
Charm City Rookies;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Charm City Rookies;McCARVER, Tim;C;8;L;15; 
Charm City Rookies;TRIANDOS, Gus;C+;8;R;2;1B2
Charm City Rookies;CARREON, Cam;C;7;R;8; 
Charm City Rookies;CASH, Norm;1B;4;L;7; 
Charm City Rookies;FAIRLY, Ron;1B;3;L;6; 
Charm City Rookies;TAYLOR, Tony;2B;8;R;18; 
Charm City Rookies;SANTO, Ron;3B;5;R;6; 
Charm City Rookies;CHARLES, Ed;3B;4;R;17; 
Charm City Rookies;MENKE, Denis;SS+;8;R;13;2B6, 3B4
Charm City Rookies;PAGAN, Jose;SS+;8;R;15;OF1
Charm City Rookies;WILLS, Maury;SS+;8;B;18;3B4
Charm City Rookies;COLAVITO, Rocky;OF;2;R;4; 
Charm City Rookies;HALL, Jimmie;OF;2;L;17; 
Charm City Rookies;KING, Jim;OF;2;L;6; 
Charm City Rookies;HORTON, Tony;OF+;1;R;8;1B2
Charm City Rookies;MAYE, Lee;OF+;1;L;17;3B3
Charm City Rookies;PHILLIPS, Adolfo;OF;1;R;17; 
Charm City Rookies;PINIELLA, Lou;OF;1;R;7; 
Crown Hill Crabbers;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;HALLER, Tom;C+;8;L;7;OF1
Crown Hill Crabbers;BATEMAN, John;C;7;R;5; 
Crown Hill Crabbers;SIEBERN, Norm;1B;4;L;7; 
Crown Hill Crabbers;CEPEDA, Orlando;1B+;3;R;13;OF1
Crown Hill Crabbers;WOOD, Jake;1B+;2;R;18;2B6, 3B3, OF1
Crown Hill Crabbers;HUNT, Ron;2B+;7;R;13;3B3
Crown Hill Crabbers;LILLIS, Bob;2B+;7;R;17;3B4, SS8
Crown Hill Crabbers;SMITH, Charley;3B+;3;R;11;SS6, OF1
Crown Hill Crabbers;HANSEN, Ron;SS;8;R;6; 
Crown Hill Crabbers;DAVENPORT, Jim;SS+;7;R;9;2B6, 3B5
Crown Hill Crabbers;HICKMAN, Jim;OF+;2;R;13;3B3
Crown Hill Crabbers;MANTILLA, Felix;OF+;2;R;14;2B7, 3B3, SS7
Crown Hill Crabbers;OLIVA, Tony;OF;2;L;17; 
Crown Hill Crabbers;SNYDER, Russ;OF;2;L;15; 
Crown Hill Crabbers;BRIGGS, Johnny;OF+;1;L;16;1B2
Crown Hill Crabbers;WHITE, Mike;OF+;1;R;12;2B6, 3B3
Detroit Dirtbags;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Detroit Dirtbags;NIXON, Russ;C;7;L;5; 
Detroit Dirtbags;BLANCHARD, Johnny;C+;6;L;4;1B2, OF1
Detroit Dirtbags;EDWARDS, Doc;C+;6;R;5;1B2
Detroit Dirtbags;HUNDLEY, Randy;C;6;R;14; 
Detroit Dirtbags;CORRALES, Pat;C;5;R;5; 
Detroit Dirtbags;MINCHER, Don;1B;2;L;4; 
Detroit Dirtbags;de la HOZ, Mike;2B+;6;R;6;3B3, SS6
