Beantown Loafers;;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Beantown Loafers;;BENCH, Johnny;C;8;R;13; 
Beantown Loafers;;BARTON, Bob;C;7;R;7; 
Beantown Loafers;;HOPKINS, Gail;1B;3;L;5; 
Beantown Loafers;;MAY, Lee;1B+;3;R;7;OF1
Beantown Loafers;;HANSEN, Ron;2B+;7;R;5;1B3, 3B3, SS8
Beantown Loafers;;SCHOFIELD, Dick;2B+;7;B;6;3B3, SS7, OF1
Beantown Loafers;;TAYLOR, Tony;3B+;4;R;17;1B3, 2B8
Beantown Loafers;;O'BRIEN, Syd;3B+;3;R;15;2B6, SS6
Beantown Loafers;;HERNANDEZ, Jackie;SS;7;R;16; 
Beantown Loafers;;HARRAH, Toby;SS;6;R;16; 
Beantown Loafers;;DAVALILLO, Vic;OF+;3;L;17;P1, 1B2
Beantown Loafers;;BONDS, Bobby;OF;2;R;19; 
Beantown Loafers;;CARBO, Bernie;OF;1;L;7; 
Beantown Loafers;;GARR, Ralph;OF;1;L;19; 
Beantown Loafers;;JOHNSON, Deron;OF+;1;R;4;1B3, 3B3
Beantown Loafers;;KEOUGH, Joe;OF+;1;L;13;1B2
Beantown Loafers;;NETTLES, Graig;OF+;1;L;9;3B4
Beantown Loafers;;REYNOLDS, Tommie;OF;1;R;15; 
Bubbaville Brewzers;;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Bubbaville Brewzers;;AZCUE, Joe;C;8;R;4; 
Bubbaville Brewzers;;CANNIZZARO, Chris;C;7;R;4; 
Bubbaville Brewzers;;DUNCAN, Dave;C;7;R;4; 
Bubbaville Brewzers;;AARON, Tommie;1B+;4;R;15;OF1
Bubbaville Brewzers;;COLBERT, Nate;1B;3;R;16; 
Bubbaville Brewzers;;BAILEY, Bob;1B+;2;R;10;3B3, OF1
Bubbaville Brewzers;;McAULIFFE, Dick;2B;8;L;16; 
Bubbaville Brewzers;;ROJAS, Cookie;2B+;8;R;6;OF2
Bubbaville Brewzers;;GOTAY, Julio;2B+;6;R;14;3B3
Bubbaville Brewzers;;MARTINEZ, Jose;2B+;6;R;16;3B3, SS7, OF1
Bubbaville Brewzers;;PENA, Roberto;SS+;7;R;13;1B2, 2B6, 3B3
Bubbaville Brewzers;;MONDAY, Rick;OF;3;L;17; 
Bubbaville Brewzers;;RUDI, Joe;OF+;2;R;15;1B2
Bubbaville Brewzers;;ALLISON, Bob;OF+;1;R;12;1B2
Bubbaville Brewzers;;CARTY, Rico;OF;1;R;4; 
Bubbaville Brewzers;;HOWARD, Frank;OF+;1;R;4;1B2
Bubbaville Brewzers;;MAY, Dave;OF;1;L;15; 
Charm City Rookies;;PLAYERS - 22;Pos;D;B;Sp;Other Positions
Charm City Rookies;;ROOF, Phil;C;8;R;5; 
Charm City Rookies;;RODRIGUEZ, Ellie;C;7;R;4; 
Charm City Rookies;;TILLMAN, Bob;C;7;R;3; 
Charm City Rookies;;DEMPSEY, Rick;C;6;R;8; 
Charm City Rookies;;ELLIS, John;C;6;R;4; 
Charm City Rookies;;FAIRLY, Ron;1B+;3;L;5;OF2
Charm City Rookies;;HORTON, Tony;1B;3;R;6; 
Charm City Rookies;;OLIVER, Al;1B+;3;L;16;OF1
Charm City Rookies;;POPOVICH, Paul;2B+;8;B;10;3B4, SS8, OF1
Charm City Rookies;;GARRETT, Wayne;3B+;4;L;16;2B7, SS7
Charm City Rookies;;PAGAN, Jose;3B+;4;R;6;2B6, OF1
Charm City Rookies;;MENKE, Denis;SS+;8;R;15;1B3, 2B7, 3B4
Charm City Rookies;;MONEY, Don;SS;7;R;14; 
Charm City Rookies;;PATEK, Freddie;SS;7;R;18; 
Charm City Rookies;;AGEE, Tommie;OF;3;R;18; 
Charm City Rookies;;BLOMBERG, Ron;OF;1;L;12; 
Charm City Rookies;;JOHNSTONE, Jay;OF;1;L;15; 
Charm City Rookies;;MAY, Carlos;OF;1;L;14; 
Charm City Rookies;;MAYE, Lee;OF;1;L;14; 
Charm City Rookies;;PINIELLA, Lou;OF;1;R;7; 
Charm City Rookies;;REICHARDT, Rick;OF+;1;R;16;1B2
Charm City Rookies;;SWOBODA, Ron;OF;1;R;10; 
Crown Hill Crabbers;;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;;BATEMAN, John;C;7;R;3; 
Crown Hill Crabbers;;PAGLIARONI, Jim;C+;7;R;3;1B2, OF1
Crown Hill Crabbers;;FISK, Carlton;C;6;R;10; 
Crown Hill Crabbers;;HENDRICKS, Elrod;C+;6;L;5;1B2
Crown Hill Crabbers;;PEPITONE, Joe;1B;5;L;11; 
Crown Hill Crabbers;;BLEFARY, Curt;1B+;2;L;5;OF1
Crown Hill Crabbers;;ROBERTSON, Bob;1B;2;R;7; 
Crown Hill Crabbers;;MILLAN, Felix;2B;8;R;15; 
Crown Hill Crabbers;;RADER, Doug;3B+;4;R;14;1B3
Crown Hill Crabbers;;KENNEY, Jerry;3B+;3;L;17;SS7, OF1
Crown Hill Crabbers;;BROWN, Larry;SS+;8;R;14;2B6, 3B4
Crown Hill Crabbers;;WOODWARD, Woody;SS+;8;R;13;2B6
Crown Hill Crabbers;;ALLEN, Hank;OF+;2;R;16;2B5, 3B3
Crown Hill Crabbers;;GASTON, Cito;OF;2;R;15; 
Crown Hill Crabbers;;HISLE, Larry;OF;2;R;18; 
Crown Hill Crabbers;;GAMBLE, Oscar;OF;1;L;17; 
Crown Hill Crabbers;;KELLY, Pat;OF;1;L;18; 
Crown Hill Crabbers;;KOSCO, Andy;OF+;1;R;7;1B2
Detroit Dirtbags;;PLAYERS - 14;Pos;D;B;Sp;Other Positions
Detroit Dirtbags;;HUNDLEY, Randy;C;8;R;10; 
Detroit Dirtbags;;FOSSE, Ray;C;6;R;8; 
Detroit Dirtbags;;POWELL, Boog;1B;4;L;4; 
Detroit Dirtbags;;JOHNSON, Davey;2B+;8;R;14;SS6
Detroit Dirtbags;;KNOOP, Bobby;2B;8;R;6; 
Detroit Dirtbags;;BANDO, Sal;3B;5;R;7; 
Detroit Dirtbags;;HARPER, Tommy;3B+;3;R;19;2B6, OF2
Detroit Dirtbags;;MICHAEL, Gene;SS;8;B;15; 
Detroit Dirtbags;;LEON, Eddie;SS;6;R;9; 
Detroit Dirtbags;;JONES, Cleon;OF+;2;R;16;1B2
Detroit Dirtbags;;OLIVA, Tony;OF;2;L;17; 
Detroit Dirtbags;;HOLT, Jim;OF+;1;L;15;1B2
Detroit Dirtbags;;JACKSON, Reggie;OF;1;L;18; 
